title,description
Recognizing a complex exponential signal,"read $z(t)=Ae^{j(\omega_0 t+\phi)}$ as a signal with magnitude, angular frequency, and phase."
Converting a complex exponential to rectangular form,expand the signal into explicit real and imaginary pieces.
Extracting the real and imaginary waveforms,identify the cosine waveform as the real part and the sine waveform as the imaginary part.
Interpreting a complex exponential in the complex plane,view the signal as a complex quantity with magnitude and angle that change meaningfully over time.
Reading phasors at $t=0$,interpret $z(0)=Ae^{j\phi}$ as the initial phasor with starting angle $\phi$.
Interpreting angular frequency as rotation rate,connect $\omega_0$ to how fast the phasor turns in the complex plane.
Real-axis projection of a phasor,understand the cosine component as the projection of the rotating phasor onto the real axis.
Imaginary-axis projection of a phasor,understand the sine component as the projection of the rotating phasor onto the imaginary axis.
Reading projection values at special angles,determine when the real or imaginary component becomes zero or reaches an extreme from the total angle.
Connecting phasor motion to time-domain sinusoids,understand why a rotating phasor traces sine and cosine waves over time.
Using complex exponentials as compact sinusoid representations,treat exponential form as a cleaner representation for analysis and later signal-processing work.
Reading sinusoid parameters,"identify amplitude, angular frequency, and phase in expressions like $A\cos(\omega t+\phi)$ or $A\sin(\omega t+\phi)$."
Interpreting radians and standard angles,interpret angles like $\pi/2$ and $\pi$ as positions in a rotation.
Identifying real and imaginary parts,distinguish the real component of a complex number from its imaginary component.
Interpreting a complex number in the plane,view a complex number as a point or vector on the real and imaginary axes.
Describing magnitude and angle,describe a complex number by its length and direction.
Applying Euler's formula to exponentials,"rewrite exponential form as cosine plus $j$ sine, and move between the two forms."
