index,document-id,document-path,document-ingested
0001,CTS-SRC-0001,Lectures/Week 1/1.1 Periodic Signals.md,
0002,CTS-SRC-0002,Lectures/Week 1/1.2 Complex Exponentials.md,2026-04-07T17:12:19+00:00
0003,CTS-SRC-0003,Lectures/Week 1/1.3 Problem Solving with Complex Exponentials.md,
0004,CTS-SRC-0004,Lectures/Week 1/1.4 Exponential Signals.md,
0005,CTS-SRC-0005,Lectures/Week 1/1.5 Signal Operations.md,
0006,CTS-SRC-0006,Lectures/Week 1/1.6 Size of a Signal.md,
0007,CTS-SRC-0007,Lectures/Week 2/2.1 Unit Step Function and Forming Different Functions using Unit Step function.md,
0008,CTS-SRC-0008,Lectures/Week 2/2.2 Unit Impulse Function.md,
0009,CTS-SRC-0009,Lectures/Week 2/2.3 Sifting Property Examples.md,
0010,CTS-SRC-0010,Lectures/Week 3/3.1 Introduction to Continuous-Time Systems.md,
0011,CTS-SRC-0011,Lectures/Week 3/3.2 Linearity.md,
0012,CTS-SRC-0012,Lectures/Week 3/3.3 Time Invariance.md,
0013,CTS-SRC-0013,Lectures/Week 3/3.4 Stability.md,
0014,CTS-SRC-0014,Lectures/Week 4/4.1 Impulse Response and Convolution for CT Systems.md,
0015,CTS-SRC-0015,Lectures/Week 4/4.2 Convolution Theorem + Intuition.md,
0016,CTS-SRC-0016,Lectures/Week 4/4.3 Convolution Example - Two Rectangular Pulses.md,
0017,CTS-SRC-0017,"Lectures/Week 4/4.4 Convolution ""What's tau got to do with it?"".md",
0018,CTS-SRC-0018,Lectures/Week 4/4.5 Convolution Example - Unit Step With Exponential.md,
0019,CTS-SRC-0019,Lectures/Week 5/5.1 Continuous Time Fourier Series.md,
0020,CTS-SRC-0020,Lectures/Week 5/5.2 Fourier Series Coefficients.md,
0021,CTS-SRC-0021,Lectures/Week 5/5.3 Examples of Fourier Series Coefficients.md,
0022,CTS-SRC-0022,Lectures/Week 5/5.4 Time-shifting property of Fourier Series.md,
0023,CTS-SRC-0023,"Lectures/Week 5/5.5 Time-reversal, Scaling and Conjugate properties of Fourier Series.md",
0024,CTS-SRC-0024,Lectures/Week 6/6.1 Introduction to Fourier Transform.md,
0025,CTS-SRC-0025,Lectures/Week 6/6.2 Examples of Fourier Transform.md,
0026,CTS-SRC-0026,Lectures/Week 6/6.3 Frequency Response of LTI System.md,
0027,CTS-SRC-0027,Lectures/Week 6/6.4 RC-Low-Pass and High-Pass Filter.md,
0028,CTS-SRC-0028,Lectures/Week 7/7.1 Convolution and Time Derivative Property of Fourier Transform.md,
0029,CTS-SRC-0029,"Lectures/Week 7/7.2 Linearity, Time and Frequency Domain Shifting with Impulse Signal.md",
0030,CTS-SRC-0030,"Lectures/Week 7/7.3 Time and Frequency Shifting, Time and Frequency Scaling.md",
0031,CTS-SRC-0031,Lectures/Week 8/8.1 Introduction to Laplace Transform.md,
0032,CTS-SRC-0032,Lectures/Week 8/8.2 Derive Laplace Transform from Fourier Transform.md,
0033,CTS-SRC-0033,Lectures/Week 8/8.3 Examples of Laplace Transform and Inverse Laplace Transform.md,
0034,CTS-SRC-0034,Lectures/Week 8/8.4 Linearity property of Laplace Transform.md,
0035,CTS-SRC-0035,Lectures/Week 8/8.5 Time-shifting Property and Derivative Property of Laplace Transform.md,
0036,CTS-SRC-0036,Lectures/Week 9/9.1 Time-Derivative Property.md,
0037,CTS-SRC-0037,Lectures/Week 9/9.2 Transfer Function Poles for LTI System Stability.md,
